,name,number,term,startsTime,,,,name,number,term,startsTime
30601,swordMan,2,2,2,,,30601,swordMan,1,1,1
30602,swordMan_solid,2,2,2,,,30602,swordMan_solid,1,1,1
30603,swordMan_fast,2,2,2,,,30603,swordMan_fast,1,1,1
30604,swordMan_hero,2,2,2,,,30604,swordMan_hero,1,1,1
30605,musketeer,2,2,2,,,30605,musketeer,1,1,1
30606,musketeer_solid,2,2,2,,,30606,musketeer_solid,1,1,1
30607,musketeer_fast,2,2,2,,,30607,musketeer_fast,1,1,1
30608,musketeer_hero,2,2,2,,,30608,musketeer_hero,1,1,1
30609,heavyArmor,2,2,2,,,30609,heavyArmor,1,4,1
30610,heavyArmor_solid,2,2,2,,,30610,heavyArmor_solid,1,1,1
30611,heavyArmor_fast,2,2,2,,,30611,heavyArmor_fast,1,1,1
30612,heavyArmor_hero,2,2,2,,,30612,heavyArmor_hero,1,1,1
30613,griffin,2,2,2,,,30613,griffin,1,1,1
30614,griffin_solid,2,2,2,,,30614,griffin_solid,1,1,1
30615,griffin_fast,2,2,2,,,30615,griffin_fast,1,1,1
30616,griffin_hero,2,2,2,,,30616,griffin_hero,1,1,1
30617,bombCarrier,2,2,2,,,30617,bombCarrier,1,1,1
30618,bombCarrier_solid,2,2,2,,,30618,bombCarrier_solid,1,1,1
30619,bombCarrier_fast,2,2,2,,,30619,bombCarrier_fast,1,1,1
30620,bombCarrier_hero,2,2,2,,,30620,bombCarrier_hero,1,1,1
30621,boss1,2,2,2,,,30621,boss1,1,1,1
30622,boss2,2,2,2,,,30622,boss2,1,1,23
